Number,X Coordinate,Y Coordinate,Force Value,S1,S2,S3,S4,S5,S6,S7,S8
72,13.5,-11.0,142.459,-0.002967898,0.035002128,0.017154005,-0.002142081,0.054083,0.026841278,0.019961264,0.077055688
73,5.0,-11.0,52.862,-0.003338327,0.017416288,0.00830221,-0.002608587,0.028059224,0.005064628,0.014498239,0.01244638
74,5.0,-11.0,99.12,-0.000684118,0.032883176,0.00976184,-0.001436139,0.056137622,0.007585707,0.028950535,0.020576075
75,5.0,-11.0,139.192,0.002021791,0.047349817,0.01208678,5.1058e-05,0.084710591,0.011323917,0.045772894,0.032641603
76,-6.0,-11.0,65.582,0.00176197,0.017864684,0.007108534,0.002380683,0.02441165,0.00229262,0.053462432,0.005216213
77,-6.0,-11.0,117.61,0.009297073,0.031921752,0.007664152,0.010996652,0.04666723,0.002755385,0.116220321,0.00707234
78,-6.0,-11.0,151.496,0.014323866,0.041280957,0.008087037,0.017208578,0.063517771,0.003131251,0.170476636,0.008251619
79,-16.0,-11.0,97.591,0.015675726,0.014604704,0.006507249,0.031856155,0.013363018,0.001072267,0.149771306,0.002620118
80,-16.0,-11.0,139.575,0.029574793,0.02091505,0.006235267,0.058580872,0.020334302,0.000537585,0.177219044,0.002922183
81,-16.0,-11.0,171.619,0.04046206,0.024965328,0.006325165,0.083693693,0.025035389,0.000450717,0.202300278,0.00323439
